E_norm,J_crit_norm,J_norm,Lprime,P_left,P_right,acc_max,energy,f_armature,fitness,genom_0,genom_1,genom_2,genom_3,genom_4,id,j,mass,velocity,x1,x2,x3,x4,x5,x6,iteration_num
0.561516443,0.776923077,0.600494182,3.82E-07,99119102.31,129745636.5,515119.6003,515836.906,190750.5139,0.164907956,0.29,0.66,0.43,0.19,0.11,31,3122569746,0.07030335,1854.430561,3.19,7.26,9.55,20.64,9.12,5.28,1
0.418618468,0.776923077,0.68057501,3.84E-07,100261149.7,111105983.1,484226.3762,455819.7566,191851.9334,0.270277543,0.31,0.52,0.33,0.23,0.27,32,3538990051,0.09620298,1743.214954,3.41,5.72,10.87,15.84,11.04,12.96,1
0.358946582,0.776923077,0.676933024,3.81E-07,100156350.2,126812060.7,470726.1511,430757.5645,190476.4728,0.00129609,0.38,0.83,0.43,0.16,0.24,33,3520051723,0.104643915,1694.614144,4.18,9.13,6.69,20.64,7.68,11.52,1
0.418618468,0.776923077,0.68057501,3.84E-07,100261149.7,111105983.1,484226.3762,455819.7566,191851.9334,0.270277543,0.31,0.52,0.33,0.23,0.27,32,3538990051,0.09620298,1743.214954,3.41,5.72,10.87,15.84,11.04,12.96,2
0.447552257,0.776923077,0.576551564,3.80E-07,100107490.1,132993886.9,490638.6763,467971.9479,190116.2703,0.007526275,0.72,0.39,0.43,0.19,0.11,29,2998068135,0.087487329,1766.299235,7.92,4.29,7.79,20.64,9.12,5.28,2
0.3963987,0.776923077,0.600534551,3.79E-07,100927552.4,140962462.6,479243.7963,446487.4541,189500.9837,-0.15069502,0.84,0.39,0.43,0.19,0.11,34,3122779663,0.095416665,1725.277667,9.24,4.29,6.47,20.64,9.12,5.28,2
0.695235812,0.776923077,0.710390728,3.87E-07,112620654.9,123143951.5,542437.2681,571999.0411,193388.9026,0.374029138,0.31,0.52,0.26,0.19,0.11,35,3694031786,0.056518466,1952.774165,3.41,5.72,10.87,12.48,9.12,5.28,2
0.449563009,0.776923077,0.51458131,3.76E-07,89898224.18,130203903.6,491081.1872,468816.4638,187775.49,0.046844295,0.29,0.66,0.63,0.19,0.11,36,2675822813,0.082371581,1767.892274,3.19,7.26,9.55,30.24,9.12,5.28,2
0.26328685,0.776923077,0.549505066,3.74E-07,90143679.6,117409751.7,448236.4144,390580.477,187015.6656,0.031156827,0.29,0.7,0.43,0.35,0.24,37,2857426341,0.117225508,1613.651092,3.19,7.7,9.11,20.64,16.8,11.52,2
0.561516443,0.776923077,0.600494182,3.82E-07,99119102.31,129745636.5,515119.6003,515836.906,190750.5139,0.164907956,0.29,0.66,0.43,0.19,0.11,31,3122569746,0.07030335,1854.430561,3.19,7.26,9.55,20.64,9.12,5.28,2
