E_norm,J_crit_norm,J_norm,Lprime,acc_max,energy,f_armature,fitness,genom_0,genom_1,genom_2,genom_3,genom_4,id,j,mass,velocity,x1,x2,x3,x4,x5,x6,iteration_num
0.62311005,0.776923077,0.757827446,3.87E-07,527878.2659,541706.2212,193327.9715,0.62311005,0.36,0.57,0.11,0.32,0.11,51,3940702717,0.066235899,1900.361757,3.96,6.27,9.77,5.28,15.36,5.28,3
0.655161231,0.776923077,0.72153638,3.88E-07,534396.9511,555167.717,193756.8591,0.655161231,0.5,0.3,0.11,0.32,0.11,25,3751989175,0.062571041,1923.829024,5.5,3.3,11.2,5.28,15.36,5.28,3
0.46666445,0.776923077,0.563317679,3.79E-07,494828.7464,475999.0692,189426.0815,0.46666445,0.36,0.57,0.44,0.25,0.13,46,2929251933,0.082811393,1781.383487,3.96,6.27,9.77,21.12,12,6.24,3
0.504947544,0.776923077,0.61379551,3.84E-07,503116.8126,492077.9686,192019.4576,0.504947544,0.49,0.3,0.35,0.25,0.17,36,3191736653,0.081659791,1811.220525,5.39,3.3,11.31,16.8,12,8.16,3
0.542810432,0.776923077,0.719394101,3.84E-07,511181.749,507980.3814,191909.7141,0.542810432,0.52,0.43,0.31,0.21,0.14,52,3740849326,0.075423642,1840.254297,5.72,4.73,9.55,14.88,10.08,6.72,3
0.496763482,0.776923077,0.593633528,3.81E-07,501356.5252,488640.6622,190586.4592,0.496763482,0.5,0.3,0.44,0.25,0.13,8,3086894347,0.080141575,1804.883491,5.5,3.3,11.2,21.12,12,6.24,3
0.25127428,0.776923077,0.383370229,3.70E-07,445331.9829,385535.1977,185021.611,0.25127428,0.5,0.3,0.11,0.82,0.11,53,1993525191,0.115468949,1603.195138,5.5,3.3,11.2,5.28,39.36,5.28,3
0.568411141,0.776923077,0.669264443,3.84E-07,516563.4502,518732.6794,192092.3863,0.568411141,0.36,0.57,0.31,0.21,0.14,5,3480175102,0.071866005,1859.628421,3.96,6.27,9.77,14.88,10.08,6.72,3
0.454799014,0.776923077,0.664533505,3.81E-07,492231.6203,471015.5859,190406.4991,0.454799014,0.36,0.98,0.31,0.21,0.14,37,3455574224,0.086822974,1772.033833,3.96,10.78,5.26,14.88,10.08,6.72,3
0.454799014,0.776923077,0.664533505,3.81E-07,492231.6203,471015.5859,190406.4991,0.454799014,0.36,0.98,0.31,0.21,0.14,37,3455574224,0.086822974,1772.033833,3.96,10.78,5.26,14.88,10.08,6.72,3
0.644728744,0.776923077,0.706846846,3.87E-07,532283.9177,550786.0726,193625.9536,0.644728744,0.3,0.57,0.11,0.32,0.11,54,3675603599,0.063764426,1916.222104,3.3,6.27,10.43,5.28,15.36,5.28,3
0.589836488,0.776923077,0.712863057,3.85E-07,521024.6931,527731.3248,192567.7631,0.589836488,0.5,0.3,0.31,0.21,0.14,43,3706887896,0.069594312,1875.688895,5.5,3.3,11.2,14.88,10.08,6.72,3
0.589836488,0.776923077,0.712863057,3.85E-07,521024.6931,527731.3248,192567.7631,0.589836488,0.5,0.3,0.31,0.21,0.14,43,3706887896,0.069594312,1875.688895,5.5,3.3,11.2,14.88,10.08,6.72,3
0.321215397,0.776923077,0.749571484,3.88E-07,461986.266,414910.4666,193894.9348,0.321215397,0.5,0.3,0.11,0.32,0.4,55,3897771718,0.119698483,1663.150558,5.5,3.3,11.2,5.28,15.36,19.2,3
0.480784507,0.776923077,0.708833511,3.81E-07,497901.7149,481929.4927,190618.2366,0.480784507,0.3,0.96,0.31,0.21,0.14,45,3685934260,0.082843101,1792.446174,3.3,10.56,6.14,14.88,10.08,6.72,3
0.655161231,0.776923077,0.72153638,3.88E-07,534396.9511,555167.717,193756.8591,0.655161231,0.5,0.3,0.11,0.32,0.11,25,3751989175,0.062571041,1923.829024,5.5,3.3,11.2,5.28,15.36,5.28,4
0.655161231,0.776923077,0.72153638,3.88E-07,534396.9511,555167.717,193756.8591,0.655161231,0.5,0.3,0.11,0.32,0.11,25,3751989175,0.062571041,1923.829024,5.5,3.3,11.2,5.28,15.36,5.28,4
0.72188936,0.776923077,0.693276383,3.90E-07,547719.5199,583193.5312,194751.0679,0.72188936,0.33,0.3,0.11,0.32,0.11,56,3605037194,0.055567149,1971.790272,3.63,3.3,13.07,5.28,15.36,5.28,4
0.615417906,0.776923077,0.694288781,3.86E-07,526301.7959,538475.5203,192835.262,0.615417906,0.5,0.3,0.17,0.32,0.11,49,3610301663,0.066396739,1894.686465,5.5,3.3,11.2,8.16,15.36,5.28,4
0.454799014,0.776923077,0.664533505,3.81E-07,492231.6203,471015.5859,190406.4991,0.454799014,0.36,0.98,0.31,0.21,0.14,37,3455574224,0.086822974,1772.033833,3.96,10.78,5.26,14.88,10.08,6.72,4
0.568411141,0.776923077,0.669264443,3.84E-07,516563.4502,518732.6794,192092.3863,0.568411141,0.36,0.57,0.31,0.21,0.14,5,3480175102,0.071866005,1859.628421,3.96,6.27,9.77,14.88,10.08,6.72,4
0.553714726,0.776923077,0.745282691,3.85E-07,513480.9116,512560.185,192452.0572,0.553714726,0.5,0.65,0.11,0.32,0.11,57,3875469994,0.074798854,1848.531282,5.5,7.15,7.35,5.28,15.36,5.28,4
0.644728744,0.776923077,0.706846846,3.87E-07,532283.9177,550786.0726,193625.9536,0.644728744,0.3,0.57,0.11,0.32,0.11,54,3675603599,0.063764426,1916.222104,3.3,6.27,10.43,5.28,15.36,5.28,4
0.589836488,0.776923077,0.712863057,3.85E-07,521024.6931,527731.3248,192567.7631,0.589836488,0.5,0.3,0.31,0.21,0.14,43,3706887896,0.069594312,1875.688895,5.5,3.3,11.2,14.88,10.08,6.72,4
0.491266978,0.776923077,0.569229086,3.81E-07,500170.82,486332.1308,190666.4369,0.491266978,0.5,0.3,0.44,0.26,0.13,58,2959991246,0.08120264,1800.614952,5.5,3.3,11.2,21.12,12.48,6.24,4
0.606656223,0.776923077,0.685477165,3.86E-07,524500.3567,534795.6135,192843.8773,0.606656223,0.5,0.3,0.19,0.32,0.11,59,3564481256,0.067671585,1888.201284,5.5,3.3,11.2,9.12,15.36,5.28,4
0.409577225,0.776923077,0.494502178,3.75E-07,482205.1725,452022.4344,187266.037,0.409577225,0.36,0.57,0.46,0.32,0.11,60,2571411325,0.088353439,1735.938621,3.96,6.27,9.77,22.08,15.36,5.28,4
0.298001592,0.776923077,0.730913879,3.87E-07,456525.9924,405160.6685,193276.4836,0.298001592,0.36,0.57,0.11,0.32,0.4,61,3800752172,0.123363591,1643.493573,3.96,6.27,9.77,5.28,15.36,19.2,4
0.598623425,0.776923077,0.676120865,3.86E-07,522843.3256,531421.8383,192956.8626,0.598623425,0.49,0.3,0.31,0.21,0.14,62,3515828497,0.069052933,1882.235972,5.39,3.3,11.31,14.88,10.08,6.72,4
0.589836488,0.776923077,0.712863057,3.85E-07,521024.6931,527731.3248,192567.7631,0.589836488,0.5,0.3,0.31,0.21,0.14,43,3706887896,0.069594312,1875.688895,5.5,3.3,11.2,14.88,10.08,6.72,4
0.275580727,0.776923077,0.733430401,3.88E-07,451189.5032,395743.9053,193807.6905,0.275580727,0.5,0.3,0.11,0.32,0.45,63,3813838087,0.129548314,1624.282211,5.5,3.3,11.2,5.28,15.36,21.6,4
0.655161231,0.776923077,0.72153638,3.88E-07,534396.9511,555167.717,193756.8591,0.655161231,0.5,0.3,0.11,0.32,0.11,25,3751989175,0.062571041,1923.829024,5.5,3.3,11.2,5.28,15.36,5.28,4
0.655161231,0.776923077,0.72153638,3.88E-07,534396.9511,555167.717,193756.8591,0.655161231,0.5,0.3,0.11,0.32,0.11,25,3751989175,0.062571041,1923.829024,5.5,3.3,11.2,5.28,15.36,5.28,4
0.568411141,0.776923077,0.669264443,3.84E-07,516563.4502,518732.6794,192092.3863,0.568411141,0.36,0.57,0.31,0.21,0.14,5,3480175102,0.071866005,1859.628421,3.96,6.27,9.77,14.88,10.08,6.72,4
0.66092641,0.776923077,0.73340848,3.87E-07,535561.0747,557589.0923,193739.4031,0.66092641,0.48,0.3,0.11,0.32,0.11,64,3813724097,0.061750344,1928.019869,5.28,3.3,11.42,5.28,15.36,5.28,4
0.72188936,0.776923077,0.693276383,3.90E-07,547719.5199,583193.5312,194751.0679,0.72188936,0.33,0.3,0.11,0.32,0.11,56,3605037194,0.055567149,1971.790272,3.63,3.3,13.07,5.28,15.36,5.28,5
0.66092641,0.776923077,0.73340848,3.87E-07,535561.0747,557589.0923,193739.4031,0.66092641,0.48,0.3,0.11,0.32,0.11,64,3813724097,0.061750344,1928.019869,5.28,3.3,11.42,5.28,15.36,5.28,5
0.644728744,0.776923077,0.706846846,3.87E-07,532283.9177,550786.0726,193625.9536,0.644728744,0.3,0.57,0.11,0.32,0.11,54,3675603599,0.063764426,1916.222104,3.3,6.27,10.43,5.28,15.36,5.28,5
0.684224277,0.776923077,0.683661415,3.88E-07,540239.9046,567374.1965,193978.745,0.684224277,0.33,0.4,0.11,0.32,0.11,65,3555039361,0.059060379,1944.863657,3.63,4.4,11.97,5.28,15.36,5.28,5
0.72188936,0.776923077,0.693276383,3.90E-07,547719.5199,583193.5312,194751.0679,0.72188936,0.33,0.3,0.11,0.32,0.11,56,3605037194,0.055567149,1971.790272,3.63,3.3,13.07,5.28,15.36,5.28,5
0.641332425,0.776923077,0.76417664,3.87E-07,531594.2028,549359.6187,193618.644,0.641332425,0.54,0.3,0.11,0.32,0.11,66,3973718529,0.06422264,1913.73913,5.94,3.3,10.76,5.28,15.36,5.28,5
0.66092641,0.776923077,0.73340848,3.87E-07,535561.0747,557589.0923,193739.4031,0.66092641,0.48,0.3,0.11,0.32,0.11,64,3813724097,0.061750344,1928.019869,5.28,3.3,11.42,5.28,15.36,5.28,5
0.655161231,0.776923077,0.72153638,3.88E-07,534396.9511,555167.717,193756.8591,0.655161231,0.5,0.3,0.11,0.32,0.11,25,3751989175,0.062571041,1923.829024,5.5,3.3,11.2,5.28,15.36,5.28,5
0.655161231,0.776923077,0.72153638,3.88E-07,534396.9511,555167.717,193756.8591,0.655161231,0.5,0.3,0.11,0.32,0.11,25,3751989175,0.062571041,1923.829024,5.5,3.3,11.2,5.28,15.36,5.28,5
0.615417906,0.776923077,0.694288781,3.86E-07,526301.7959,538475.5203,192835.262,0.615417906,0.5,0.3,0.17,0.32,0.11,49,3610301663,0.066396739,1894.686465,5.5,3.3,11.2,8.16,15.36,5.28,5
0.333603544,0.776923077,0.711281313,3.86E-07,464873.92,420113.4884,192877.3325,0.333603544,0.5,0.3,0.31,0.21,0.37,67,3698662827,0.114902459,1673.546112,5.5,3.3,11.2,14.88,10.08,17.76,5
0.578764265,0.776923077,0.645582986,3.84E-07,518723.9959,523080.9912,191942.1413,0.578764265,0.36,0.57,0.17,0.32,0.11,68,3357031527,0.070027496,1867.406385,3.96,6.27,9.77,8.16,15.36,5.28,5
0.589836488,0.776923077,0.712863057,3.85E-07,521024.6931,527731.3248,192567.7631,0.589836488,0.5,0.3,0.31,0.21,0.14,43,3706887896,0.069594312,1875.688895,5.5,3.3,11.2,14.88,10.08,6.72,5
0.463305354,0.776923077,0.536264389,3.79E-07,494094.8873,474588.2489,189588.937,0.463305354,0.33,0.61,0.44,0.26,0.13,69,2788574824,0.08370957,1778.741594,3.63,6.71,9.66,21.12,12.48,6.24,5
0.655161231,0.776923077,0.72153638,3.88E-07,534396.9511,555167.717,193756.8591,0.655161231,0.5,0.3,0.11,0.32,0.11,25,3751989175,0.062571041,1923.829024,5.5,3.3,11.2,5.28,15.36,5.28,5
0.679050293,0.776923077,0.690421738,3.87E-07,539204.3383,565201.123,193637.4662,0.679050293,0.33,0.3,0.19,0.32,0.11,70,3590193038,0.059117041,1941.135618,3.63,3.3,13.07,9.12,15.36,5.28,5
0.516670264,0.776923077,0.667718332,3.84E-07,505627.5442,497001.5109,191807.3789,0.516670264,0.68,0.3,0.31,0.21,0.14,71,3472135327,0.079345194,1820.259159,7.48,3.3,9.22,14.88,10.08,6.72,5
0.534370672,0.776923077,0.703226028,3.84E-07,509395.1076,504435.6822,191908.9387,0.534370672,0.45,0.57,0.31,0.21,0.14,72,3656775347,0.076738873,1833.822387,4.95,6.27,8.78,14.88,10.08,6.72,5
0.425462023,0.776923077,0.515811023,3.76E-07,485750.6864,458694.0498,188029.0253,0.425462023,0.36,0.57,0.44,0.32,0.11,73,2682217321,0.087089572,1748.702471,3.96,6.27,9.77,21.12,15.36,5.28,5
