E_norm,J_crit_norm,J_norm,Lprime,P_left,P_right,acc_max,energy,f_armature,fitness,genom_0,genom_1,genom_2,genom_3,genom_4,id,j,mass,velocity,x1,x2,x3,x4,x5,x6,iteration_num
0.175476144,0.776923077,0.604011237,3.80E-07,105402410.2,135853531.6,426549.4512,353699.9804,190145.095,-0.066248605,0.46,0.94,0.27,0.27,0.39,34,3140858432,0.145775031,1535.578024,5.06,10.34,4.6,12.96,12.96,18.72,2
0.536410059,0.776923077,0.578526973,3.82E-07,93382462.7,119902782.6,509827.406,505292.2247,190839.5969,0.403724842,0.46,0.28,0.44,0.25,0.12,35,3008340258,0.074321966,1835.378662,5.06,3.08,11.86,21.12,12,5.76,2
0.429862654,0.776923077,0.495312503,3.75E-07,88216563.02,117516190,486728.3462,460542.3149,187725.2797,0.313088055,0.46,0.28,0.48,0.34,0.12,36,2575625013,0.085687994,1752.222046,5.06,3.08,11.86,23.04,16.32,5.76,2
0.488625919,0.776923077,0.692557208,3.86E-07,107280166.9,113922608.1,499600.09,485222.8858,193010.4683,0.392168448,0.41,0.44,0.24,0.22,0.24,3,3601297482,0.086329931,1798.560324,4.51,4.84,10.65,11.52,10.56,11.52,2
0.337601226,0.776923077,0.725837948,3.82E-07,113572123.4,134753555.8,465801.9518,421792.5149,191135.2697,0.099124792,0.92,0.44,0.24,0.22,0.24,37,3774357329,0.110335914,1676.887026,10.12,4.84,5.04,11.52,10.56,11.52,2
0.427275967,0.776923077,0.613425059,3.86E-07,103935405.8,112023116.6,486153.9168,459455.9062,192928.6944,0.345154153,0.41,0.44,0.16,0.36,0.24,38,3189810309,0.09684694,1750.1541,4.51,4.84,10.65,7.68,17.28,11.52,2
0.43379928,0.776923077,0.631334703,3.85E-07,98718310.83,108325341.6,487601.2597,462195.6975,192303.7341,0.378297002,0.46,0.28,0.24,0.33,0.24,39,3282940458,0.094387279,1755.364535,5.06,3.08,11.86,11.52,15.84,11.52,2
0.713592992,0.776923077,0.801880663,3.88E-07,112021892.7,124900034.1,546080.8065,579709.0566,194231.4459,0.516624232,0.46,0.28,0.24,0.18,0.12,40,4169779449,0.055682609,1965.890903,5.06,3.08,11.86,11.52,8.64,5.76,2
0.465033703,0.776923077,0.732432815,3.86E-07,107445415.7,113655114.2,494472.6143,475314.1554,192891.0295,0.370276901,0.49,0.44,0.24,0.22,0.24,41,3808650638,0.090094464,1780.101412,5.39,4.84,9.77,11.52,10.56,11.52,2
0.525577906,0.776923077,0.592397982,3.83E-07,99481345.79,120034768,507527.0475,500742.7204,191558.1022,0.392012785,0.46,0.36,0.24,0.36,0.12,42,3080469509,0.077434273,1827.097371,5.06,3.96,10.98,11.52,17.28,5.76,2
0.451015797,0.776923077,0.658183937,3.86E-07,102383091.1,107691809.1,491400.6577,469426.6347,193000.7954,0.398545524,0.46,0.28,0.16,0.36,0.24,22,3422556474,0.092756486,1769.042368,5.06,3.08,11.86,7.68,17.28,11.52,2
0.427275967,0.776923077,0.613425059,3.86E-07,103935405.8,112023116.6,486153.9168,459455.9062,192928.6944,0.345154153,0.41,0.44,0.16,0.36,0.24,38,3189810309,0.09684694,1750.1541,4.51,4.84,10.65,7.68,17.28,11.52,2
0.456613359,0.776923077,0.715684955,3.87E-07,104854483.2,110447921.6,492629.6338,471777.6106,193696.867,0.384533306,0.46,0.28,0.24,0.22,0.29,43,3721561769,0.093189637,1773.466682,5.06,3.08,11.86,11.52,10.56,13.92,2
0.713592992,0.776923077,0.801880663,3.88E-07,112021892.7,124900034.1,546080.8065,579709.0566,194231.4459,0.516624232,0.46,0.28,0.24,0.18,0.12,40,4169779449,0.055682609,1965.890903,5.06,3.08,11.86,11.52,8.64,5.76,3
0.517931122,0.776923077,0.755339823,3.88E-07,110535104.6,110794474.6,505896.8482,497531.0712,194005.8104,0.440700405,0.41,0.44,0.19,0.24,0.23,32,3927767080,0.083488869,1821.228653,4.51,4.84,10.65,9.12,11.52,11.04,3
0.489529782,0.776923077,0.747984004,3.87E-07,109835958.4,110214418.7,499795.4871,485602.5083,193635.1216,0.416515678,0.41,0.44,0.19,0.24,0.25,44,3889516820,0.087428711,1799.263754,4.51,4.84,10.65,9.12,11.52,12,3
0.384689779,0.776923077,0.615897059,3.83E-07,98087565.99,112596091.1,476597.2211,441569.7072,191480.5257,0.300715838,0.41,0.44,0.24,0.36,0.24,45,3202664706,0.10176593,1715.749996,4.51,4.84,10.65,11.52,17.28,11.52,3
0.429029443,0.776923077,0.682975276,3.85E-07,102529761.7,109311879.5,486543.3876,460192.3659,192702.0973,0.365685365,0.46,0.36,0.16,0.36,0.24,46,3551471437,0.096063542,1751.556195,5.06,3.96,10.98,7.68,17.28,11.52,3
0.544955915,0.776923077,0.598093985,3.82E-07,99286262.29,115809080.9,511634.9391,508881.4844,191229.8462,0.439562043,0.46,0.28,0.24,0.36,0.12,24,3110088724,0.07376229,1841.885781,5.06,3.08,11.86,11.52,17.28,5.76,3
0.544955915,0.776923077,0.598093985,3.82E-07,99286262.29,115809080.9,511634.9391,508881.4844,191229.8462,0.439562043,0.46,0.28,0.24,0.36,0.12,24,3110088724,0.07376229,1841.885781,5.06,3.08,11.86,11.52,17.28,5.76,3
0.544955915,0.776923077,0.598093985,3.82E-07,99286262.29,115809080.9,511634.9391,508881.4844,191229.8462,0.439562043,0.46,0.28,0.24,0.36,0.12,24,3110088724,0.07376229,1841.885781,5.06,3.08,11.86,11.52,17.28,5.76,3
0.536410059,0.776923077,0.578526973,3.82E-07,93382462.7,119902782.6,509827.406,505292.2247,190839.5969,0.403724842,0.46,0.28,0.44,0.25,0.12,35,3008340258,0.074321966,1835.378662,5.06,3.08,11.86,21.12,12,5.76,3
0.517931122,0.776923077,0.755339823,3.88E-07,110535104.6,110794474.6,505896.8482,497531.0712,194005.8104,0.440700405,0.41,0.44,0.19,0.24,0.23,32,3927767080,0.083488869,1821.228653,4.51,4.84,10.65,9.12,11.52,11.04,3
0.561252648,0.776923077,0.677835599,3.84E-07,101473378.9,127486780.7,515064.2775,515726.1121,191782.4942,0.377270754,0.49,0.44,0.39,0.18,0.12,47,3524745116,0.07234672,1854.231399,5.39,4.84,9.77,18.72,8.64,5.76,3
0.617368038,0.776923077,0.723176583,3.87E-07,108592839.7,115562426.5,526701.9131,539294.5758,193605.4422,0.509322108,0.46,0.28,0.24,0.22,0.16,48,3760518229,0.06758067,1896.126887,5.06,3.08,11.86,11.52,10.56,7.68,3
0.713592992,0.776923077,0.801880663,3.88E-07,112021892.7,124900034.1,546080.8065,579709.0566,194231.4459,0.516624232,0.46,0.28,0.24,0.18,0.12,40,4169779449,0.055682609,1965.890903,5.06,3.08,11.86,11.52,8.64,5.76,3
0.451015797,0.776923077,0.658183937,3.86E-07,102383091.1,107691809.1,491400.6577,469426.6347,193000.7954,0.398545524,0.46,0.28,0.16,0.36,0.24,22,3422556474,0.092756486,1769.042368,5.06,3.08,11.86,7.68,17.28,11.52,3
0.420746509,0.776923077,0.589505968,3.85E-07,99694724.61,108433329.9,484700.8823,456713.5336,192316.9832,0.364524309,0.46,0.28,0.16,0.4,0.24,30,3065431034,0.096774568,1744.923176,5.06,3.08,11.86,7.68,19.2,11.52,3
0.517931122,0.776923077,0.755339823,3.88E-07,110535104.6,110794474.6,505896.8482,497531.0712,194005.8104,0.440700405,0.41,0.44,0.19,0.24,0.23,32,3927767080,0.083488869,1821.228653,4.51,4.84,10.65,9.12,11.52,11.04,3
0.488625919,0.776923077,0.692557208,3.86E-07,107280166.9,113922608.1,499600.09,485222.8858,193010.4683,0.392168448,0.41,0.44,0.24,0.22,0.24,3,3601297482,0.086329931,1798.560324,4.51,4.84,10.65,11.52,10.56,11.52,3
0.713592992,0.776923077,0.801880663,3.88E-07,112021892.7,124900034.1,546080.8065,579709.0566,194231.4459,0.516624232,0.46,0.28,0.24,0.18,0.12,40,4169779449,0.055682609,1965.890903,5.06,3.08,11.86,11.52,8.64,5.76,3
0.49537052,0.776923077,0.597465018,3.82E-07,99482513.44,121936296.9,501056.301,488055.6182,191157.1159,0.34912854,0.59,0.28,0.24,0.36,0.12,49,3106818092,0.081508257,1803.802684,6.49,3.08,10.43,11.52,17.28,5.76,3
0.429029443,0.776923077,0.682975276,3.85E-07,102529761.7,109311879.5,486543.3876,460192.3659,192702.0973,0.365685365,0.46,0.36,0.16,0.36,0.24,46,3551471437,0.096063542,1751.556195,5.06,3.96,10.98,7.68,17.28,11.52,3
0.713592992,0.776923077,0.801880663,3.88E-07,112021892.7,124900034.1,546080.8065,579709.0566,194231.4459,0.516624232,0.46,0.28,0.24,0.18,0.12,40,4169779449,0.055682609,1965.890903,5.06,3.08,11.86,11.52,8.64,5.76,4
0.713592992,0.776923077,0.801880663,3.88E-07,112021892.7,124900034.1,546080.8065,579709.0566,194231.4459,0.516624232,0.46,0.28,0.24,0.18,0.12,40,4169779449,0.055682609,1965.890903,5.06,3.08,11.86,11.52,8.64,5.76,4
0.425854918,0.776923077,0.575907473,3.84E-07,98675931.76,108341576.5,485838.0531,458859.0654,192168.905,0.370244408,0.46,0.28,0.19,0.39,0.23,50,2994718861,0.095541073,1749.016991,5.06,3.08,11.86,9.12,18.72,11.04,4
0.515747686,0.776923077,0.513784422,3.82E-07,100192062.8,119308295.9,505430.4018,496614.0283,191116.8268,0.386929682,0.41,0.44,0.24,0.36,0.12,51,2671678995,0.078126892,1819.549447,4.51,4.84,10.65,11.52,17.28,5.76,4
0.359182007,0.776923077,0.49722044,3.82E-07,93846436.27,110238506.4,470780.1744,430856.4428,190939.8441,0.290925297,0.46,0.28,0.19,0.49,0.23,52,2585546286,0.105581744,1694.808628,5.06,3.08,11.86,9.12,23.52,11.04,4
